id,sentiment,text
2083,Positive,RT @JebBush: The Democrats are wrong: We can grow this economy and create jobs. http://t.co/DwGVs5ZJq7 #GOPDebate
2084,Negative,RT @PJHughes12: @FoxNews debate moderators were very unprofessional in their handling of this debate. They now act like @CNN and @msnbc #GO…
2085,Negative,"""When you find mush, you push""  We agree with Jack from @AandGShow about that being a great motto in life! (from last night's #GOPDebate)"
2086,Neutral,"RT @KarenDoe50: Are you angry enough now to go to the polls in 2016 and ALL other local, state and federal elections? #GOPdebate http://t.c…"
2087,Positive,"After the #GOPDebate, I'm all #YasKween! http://t.co/2VRyVXpTgU"
2088,Neutral,RT @4BillLewis: #GOPDebate starting to get serious. #scottwalker #realdonaldtrump #jebbush #MarcoRubio #BenCarson #socialmedia #retweet
2089,Positive,"Trump &amp; co drew NBA Finals type viewership for #GOPdebate, MURICA wins again."
2090,Neutral,"RT @ARTEM_KLYUSHIN: .@realDonaldTrump just posted this video of him arriving to the #GOPdebate
https://t.co/kmtareY88s"
2091,Neutral,"RT @theLGmarianne: ""Get a warrant."" - @RandPaul #GOPDebate #StandWithRand"
2092,Positive,"RT @rumpfshaker: Having attended @marcorubio &amp; @GovernorPerry's announcements, I assure you both mentioned illegal immigration as a priorit…"
2093,Negative,Chris Christie and Rand Paul feud in tense national security face-off at #GOPDebate: http://t.co/LSEItOG0nR (Getty) …
2094,Negative,"RT @FrankLuntz: I'm getting a lot of @MegynKelly hatemail tonight. 😆

#GOPDebate"
2095,Neutral,RT @yvetteborja: @klazc @TapatioCosteno #PayasoOrPresident needs to trend re: #GOPDebate 😂😭
2096,Neutral,RT @JimSterling: Phew! Tuned into the #GOPDebate just in time! http://t.co/BIVfRZKaF4
2097,Positive,I really think a @RandPaul @CarlyFiorina alliance is in order! This would be a political powerhouse! #FOXNEWSDEBATE #GOPDebate #2016election
2098,Negative,"RT @KennyW_NLR: @michellemalkin 

@FoxNews seemed to want cult of personality ratings over substance during the @GOP #debate 

#GOPDebate @…"
2099,Negative,"RT @PongDLC: No trans rights...no education reform...no minimum wage reform...no police brutality...no healthcare reform...

BUT WAR!! ISIS…"
2100,Positive,RT @CSingerling: John #Kasich’s Standout Performance in #GOPDebate | http://t.co/UC6zGUjYvM | http://t.co/pNpFOwV7Ix #Kasich4Us #Experience…
2101,Neutral,#GOPDebate: Did Cruz Trump Trump? https://t.co/PuIXp0vm8I
2102,Negative,"How can you purport to be Christian (""Love Thy Neighbor"") yet verbally eviscerate your opponents? #GOPDebate"
2103,Negative,"RT @LeighPatrick: lol! Of course you do.   RT""@sallykohn: I think @megynkelly won #GOPDebate!"" #tcot"
2104,Negative,RT @JohnTheFame: Lmao the country is fucking doomed! All of the #GOPDebate candidates are evil. I hope I get to work by the barn instead of…
2105,Negative,I didn't think a single candidate distinguished themselves last night &amp; I think Trump did what I expected...more of the same. #GOPDebate
2106,Negative,RT @dannyboi965: A shocking photo taken in the sewers in Ohio after the #GOPDebate last night. http://t.co/vZd9qTCYz1
2107,Neutral,RT @tedcruz: #CruzCrew: RT if you're tuning in! http://t.co/Xx2BP5QKcY #GOPDebate http://t.co/rGjjSZQdrZ
2108,Negative,"RT @AnnTelnaes: God, I hope the field gets smaller soon... http://t.co/9vn7Q9aE2k #GOPDebate #2016election #TooManyToDraw http://t.co/FVEHo…"
2109,Positive,@GovChristie gave the only intelligent answer on entitlements last night and he only got 65% of it right. #GOPDebate
2110,Neutral,RT @76TomPaine: @seculardotorg “It is of the utmost danger to society to make religion a party in political disputes.” #GOPDebate
2111,Neutral,"@GOP #GOPDebate pre·var·i·cate, prəˈverəˌkāt/, verb. speak or act in an evasive way. synonyms: be evasive, beat around the bush, hedge"
2112,Neutral,RT @TeamRickPerry: .@GovernorPerry's response to Chinese Hacking and what options he would consider: http://t.co/1wSgqnFDBp #GOPDebate #Per…
2113,Negative,RT @totallymorgan: If they cut to a wider shot you'd see @chrisbrown @BillCosby and Charles Manson. #GOPDebate
2114,Negative,"RT @kharyp: When #HillaryClinton calls men ""Fat Pigs, Dogs, Slobs, And Disgusting Animals’ get back to me! #GOPDebate https://t.co/jL4MxQ2J…"
2115,Negative,"RT @haleyrfalconer: Will we hear about #infrastructure, let alone #water infrastructure in  #GOPDebate? Tell us your plan for investing in …"
2116,Positive,RT @alainasmith_: Really impressed with Dr. Carson and Senator Rubio tonight #GOPDebate
2117,Negative,"RT @Torchie123: Remember when @megynkelly gave @anjemchoudary AND #BillAyers more respect than any #GOPDebate candidate

Sick. @FoxNews"
2118,Neutral,"RT @comicriffs: The #GOPdebate, as told in real-time sketches: #cleveland #politics @foxnews  http://t.co/xO0Jd1Mn0C"
2119,Negative,"As @ShaunKing pointed out, #GOPDebate had a huge audience of POC ready to learn. What we learned was mostly just scary. At best, tone deaf."
2120,Neutral,Which new ideas did the #GOPDebate offer last night?
2121,Neutral,#GOPdebate: So now what do you think of Donald J. Trump?  He had the most minutes of any candidate. Did he change... http://t.co/1qpscJVIku
2122,Positive,"RT @urfavrochelle: The best closing statement was ""@RealBenCarson "" #GOPDebate"
2123,Negative,RT @NoChristie16: The photo that ended #ChrisChristie's presidential hopes. #GOPDebate #bat #nea #njea #edchat http://t.co/VbvvFPXspo
2124,Negative,RT @iamrapaport: The only debate anyone really cares about @iamrapaport #wedontfactcheck @michaelrapaport @GeraldMoody1560 #GOPDebate http:…
2125,Neutral,"I think it came as a surprise to Bobby Jindal to be on the JV squad, in the opening act. #GOPDebate"
2126,Neutral,@puddinstrip #GOPDebate live tweet feed was on fire.
2127,Neutral,"RT @LiveAction: .@GovMikeHuckabee: ""We clearly know that that baby inside the mother’s womb is a person at the moment of conception.” #GOPD…"
2128,Neutral,"RT @exjon: ""If you like what I did to Atlantic City, you'll love what I do for America!"" #gopdebate"
2129,Negative,"So Trump got Trumped by @megynkelly and what does he do... Whines like a ""mamas boy"" and calls her a bimbo. #GOPDebate #KeepItUpMegyn"
2130,Neutral,RT @AngryBlackLady: #BlackLivesMatter Activists Highlight Candidates’ White Supremacist Ties During Last Night’s #GOPDebate http://t.co/yqM…
2131,Negative,The world is changing too fast for them. #GOPDebate
2132,Negative,".@RealDonaldTrump retweets Twitter users calling @megynkelly a ""bimbo"" and ""unbecoming"" after #GOPdebate http://t.co/sQykqA97bs"
2133,Negative,RT @NoDigMaine: Hey #GOPDebate #Infastructure crumbling below our communities. What will you do to protect our future? http://t.co/iZDG065d…
2134,Negative,I wish there was more CGI in the #GOPDebate when the candidates called out Trump as not being helpful to Americans. http://t.co/ladgpa1REz
2135,Negative,"RT @NoChristie16: #ChrisChristie blasts sanctuary cities, then finds he has four under his own nose in #NJ. #GOPDebate #fail #FoxNews http:…"
2136,Negative,Exactly #GOPDebate http://t.co/XqjbInIZTE
2137,Negative,"If you weren't following @pattonoswalt last night, your #GOPDebate was significantly less awesome."
2138,Negative,"RT @rakapanka: Megan: you've called women fat pigs, etc.
#GOP audience: ha ha ha.
WTF? What is wrong with these people? #GOPDebate"
2139,Positive,New post! http://t.co/i1LPjGgehD @marcorubio shines #GOPDebate #trump #bush #carson #fiorina #FoxNews
2140,Negative,I'm thoroughly disgusted by the abysmal performance demonstrated last night by #FoxNews. They owe each candidate an apology. #GOPDebate
2141,Positive,Huckabee: 'The Military Is Not A Social Experiment' http://t.co/vV2lxN2U6k Agreed! #GOPDebate
2142,Positive,RT @JohnConti78: Article calling @JohnKasich's performance at #GOPDebate 'Fantastic' http://t.co/0qhbseqeZ8  #Kasich4Us #Kasich2016
2143,Negative,"RT @senatorshoshana: If @megynkelly is a bimbo, as @realDonaldTrump says, shouldn't he have had a super easy time answering her questions? …"
2144,Negative,"#Cuban rpt he liked #Rubio #GOPDebate. Easy 4him 2say, try livin w/him down here in #Florida &amp; C how much u like him #politicalnightmare :("
2145,Negative,"RT @DamienFahey: “Senator Cruz, your ears look like large oysters. Please explain.” #GOPDebate"
2146,Negative,"RT @jefftiedrich: The Republican Party wakes up with a huge hangover, a splitting headache and no idea why it's in bed with Donald Trump. #…"
2147,Negative,"Wandered away from the #GOPDebate coverage last night, shouting I AM ALL OUT OF EVENS TO CAN'T"
2148,Neutral,Who do you think won the #GOPDebate last night?
2149,Positive,Holy crap! &gt; http://t.co/q81ysLXE47 ~ this lady is as sharp as it gets &gt; @CarlyFiorina ~ watch out boys! #GOPDebate
2150,Negative,RT @NoChristie16: #NJ has had 9 credit downgrades in just 5 years under #ChrisChristie. #GOPDebate #FoxNews #TellingItLikeItIs
2151,Negative,@FreeAmerican100 @LibertarianWing @RandPaul @RonPaul #GOPDebate #StandWithRand Rand gets 1/2 Trump speaking time http://t.co/UTbTdCpkwD
2152,Neutral,"The #GOPDebate Breakdown https://t.co/KWxYDkx9gp Fox News is part of the war on info, It's our duty to steal their intellectual property."
2153,Negative,all i learned from #GOPDebate is that @realDonaldTrump is a sexist pig w/ MO shock value for the ignorant-wow that debate was drunkenky dumb
2154,Negative,"RT @nochillzabree: So abortion is murder to y'all, but when cops keep abusing the system and murdering black people y'all wanna be quiet? #…"
2155,Neutral,RT @OhNoSheTwitnt: Every time a GOP candidate mentions Hillary a woman receives free birth control. #GOPDebate
2156,Positive,"The best answers from yesterday, in substance and style, came from @CarlyFiorina, bar none. #GOPDebate #Outnumbered"
2157,Negative,"How's this for an accurate description of our system? https://t.co/E68Hblfc2G. The #GOPDebate illustrated this in a wonderful, scary fashion"
2158,Negative,"lol! Of course you do.   RT""@sallykohn: I think @megynkelly won #GOPDebate!"" #tcot"
2159,Positive,RT @GovMikeHuckabee: I pledge to oppose amnesty &amp; government benefits for illegal immigrants who violated our laws. http://t.co/ejrxeXZtjT …
2160,Positive,RT @MN2A4ASupporter: With first debate over.... hands down @TedCruz is my pick for President! #GOPDebate http://t.co/g0jq1Y53bo
2161,Negative,"Pouty face Donald bullies around at the GOP debate. I'm rich &amp; loud &amp; do what I want, if I can get away with it! #GOPDebate"
2162,Positive,RT @Hardline_Stance: FOX #GOPDebate drew 10 million viewers. No Democrat primary debate has ever attracted anything like this...-- Rush
2163,Neutral,"MT @ABCPolitics: According to @gov, the most-retweeted candidate tweet of the #GOPDebate came from @BernieSanders : https://t.co/7Is9RxaW5e"
2164,Negative,Not addressed once at either #GOPDebate #believersneverdie http://t.co/4eH6f2reUr
2165,Neutral,"RT @ARTEM_KLYUSHIN: Trump family prior to getting off plane in Cleveland, Ohio. #GOPDebate 
#MakeAmericaGreatAgain  
#Trump2016🇺🇸 http://t.…"
2166,Negative,"RT @nannacassie: Oh Lord,#MegynKelly is going to have #debbiewassermanschultz on after #GOPDebate show.#babykiller supporter&amp;we should care…"
2167,Negative,"@texasdivepro I see you missed the point, I know how comprehension is a problem for you types! https://t.co/BYv2IiFmPr @FoxNews #GOPDebate"
2168,Neutral,Dorp. #GOPDebate https://t.co/cy9C8nvS5y
2169,Negative,The best person in the GOP wasn't even in the 9pm #GOPDebate. Is GOP stupid enough to leave Carly Fiorina out of next prime time debate?
2170,Negative,@megynkelly is very biased or she was paid off to assassinate @realDonaldTrump during the #GOPDebate #KellyFailed
2171,Negative,RT @bustle: Ignoring the #GOPDebate comments on gay marriage like http://t.co/vvkUQdjXqL
2172,Positive,@RealBenCarson @DrBenCarson2016 #GOPDebate I loved this quote and how true it is!!! http://t.co/9SBG2rXkVO
2173,Positive,16% of United States homes with TV sets tuned in to #GOPDebate. Wow. http://t.co/TRs8vMWJYg
2174,Positive,"@Suthen_boy Trump exposed the fact that every other candidate is nothing more than the puppet of their wealthy benefactors!  
#GOPDebate"
2175,Neutral,Twitter Users Takeover #GOPDebate Hashtag to Drag GOP Candidates - Atlanta Black Star http://t.co/pGYFKX94Ib
2176,Negative,"@Doc_68W_ Fox tried hard to torpedo Trump, from the opening question to ques abt his remarks abt women. #GOPDebate See also Rove's WSJ piece"
2177,Positive,Okay @CarlyFiorina I'm listening now. You were amazing last night! #girlpower #GOPDebate
2178,Negative,"The real voice of the #GOP in the #GOPDebate was @realDonaldTrump. @FoxNews don't be mad, he's only parroting what you have been sying 4yrs."
2179,Positive,".@FredBarnes, @weeklystandard: ""Mike Huckabee was the star of the Luntz focus group show. When he spoke, the feedback soared."" #GOPDebate"
2180,Neutral,Kasich tweets about response to question on gay marriage during #GOPDebate on #FoxNews https://t.co/rhhOgIIbCL
2181,Neutral,RT @puddinstrip: I hope when they come back they've replaced Megyn Kelly with Will Ferrell dressed as Alex Trebek #GOPDebate
2182,Negative,"Lemme see...who else?Bush, Rubio? Too similar. #GOPDebate"
2183,Neutral,Just did TV interview about VA #GOPdebate focus group I'm not worried about my comments BUT nervous about my HAIR http://t.co/GAtsSNZ5AO
2184,Negative,"RT @GovMikeHuckabee: Millions of Americans lost insurance because of #ObamaCare, but not Congress. You can't claw away those benefits! #ImW…"
2185,Negative,"RT @Serf_: ""The military is about killing people...""

Huckabee is pro-life 

#GOPDebate http://t.co/NvipxIgND4"
2186,Positive,"RT @4gen234: Cruz has had very little mic time, but he's made good use of his time. #GOPDebate #CruzCrew"
2187,Negative,RT @coketweet: Here's the part where they all try to prove that they're each the biggest misogynist. #GOPDebate
2188,Neutral,RT @lynnsweet: Gov @scottwalker Checking out #Harley's outside #Slyman's in Cleveland #gopdebate http://t.co/iSlpTw9Sor
2189,Negative,Re-watching highlights from last night's #GOPDebate 😩really makes me cringe. All I can say is LOL 😐
2190,Negative,.@allahpundit Best part of Rush's opening--his reporting the backlash against @FoxNews. They've forgotten their audience #GOPDebate
2191,Neutral,RT @TheRunster: Confirmed: @FoxNews did not ask ONE SINGLE QUESTION about #climatechange. #GOPDebate
2192,Negative,I AM DEAD -- #GOPDebate Trump at the Roxbury https://t.co/q1y4SYaB9B
2193,Positive,RT @lindacohn: Trump showed he didn't belong but did GOP a favor. Better ratings &amp; he brought out personalities and ideas of other candidat…
2194,Negative,"RT @mrdaveyd: So donald Trump says everyone is stupid and Ben Carson says everyone is an uninformed, useful idiot...we are all NOT worthy #…"
2195,Negative,I think all the GOP candidates have a secret crush on Hillary because they were trashing talking her so much. #GOPDebate
2196,Neutral,"Hillary Clinton was watching the #GOPDebate like:
 http://t.co/VOkOlq52xP"
2197,Negative,I forgot #ChrisChristie was running until I saw the #GOPDebate .... #Forgotten
2198,Neutral,"RT @JillBidenVeep: Saying ""Bless You"" after someone sneezes is considered GOP healthcare. #GOPDebate"
2199,Positive,This is my favorite quote of the #GOPDebate This is the only point @realDonaldTrump needed to make.  https://t.co/KwHdfmUvA5
2200,Negative,"RT benwikler: So, was SenSchumer throwing his hat in the #GOPDebate ring by coming out on the GOP side of the #Ira… http://t.co/tVR6vKe7I6"
2201,Negative,RT @coketweet: I wish someone would ask Ben Carson if he thinks black lives matter. (I guarantee he would answer that all lives matter.) #G…
2202,Negative,RT @Kerryepp: This shows they did it wrong. You need to fix that FoxNews! @megynkelly @BretBaier #GOPDebate  https://t.co/S99LR4vbAG
2203,Neutral,"RT @Norsu2: Marco Rubio to Jihadis: 'We Will Look for You, We Will Find You, We Will Kill You' http://t.co/Dsgpmdnkhv #tcot #ISIS #GOPDebate"
2204,Neutral,"RT @emilyelarsen: ""Wow that person's twitter commentary completely changed my view and outlook of the #GOPDebate and who I'm supporting"" - …"
2205,Negative,"RT @coketweet: Wow. Ignorant warmongering and blatant transphobia in the same sentence? Impressive, Mr. Huckabee. #GOPDebate"
2206,Negative,"This makes me feel better about #Trump 
#GOPDebate RT https://t.co/NGdAxtuDrT"
2207,Neutral,RT @DUhockeyFan: Please raise your hand if Bill Clinton asked you to run for President! #GOPDebate #Trump http://t.co/eoVl8KL0FR
2208,Negative,"Shorter @JohnKasich: ""I am proud to embrace the Obama agenda &amp; expand government in Ohio.""  #RINO #GOPDebate #tcot #teaparty @gop"
2209,Negative,"After last night's #GOPDebate, all presidential debates should just be rich corporate CEO's, as they run the government anyway #transparency"
2210,Positive,Omg when Trump raises his hand and the audience goes crazy. #GOPdebate
2211,Negative,"PFTCommenter does the deep dive, survives with nothing but flesh wounds to his grammar #GOPDebate
 http://t.co/AadDpv9eRb via @sbnation"
2212,Negative,Marco Rubio Voted Against Unemployment Benefits Even Though Florida Needs Them Most http://t.co/2i6UolSctj #GOPDebate http://t.co/65hFgIsSgy
2213,Negative,RT @AverageChirps: 7 Disturbing Megyn Kelly Moments On Race https://t.co/Mmh7abJQK5 #topprog #GOPDebate
2214,Negative,RT @puddinstrip: heres a photo of a puppy eating a shoe to take your mind off Mike Huckabee talking about a womans vagina #GOPDebate http:/…
2215,Positive,"RT @GovMikeHuckabee: The #IRS is intrusive, invasive, unaccountable, &amp; out-of-control. It must be abolished, once-and-for-all. #GOPdebate h…"
2216,Neutral,RT @bruce_bishop: CNN reporter Dana Bash has a camera balanced on her head while interviewing John Kasich @danabashcnn #gopdebate http://t.…
2217,Negative,"RT @pulmyears: Official photo from the big #FoxNews #GOPDebate last night: http://t.co/uaiB1M8ekC
#teaparty @socalimilitia1 @donkeyarguing"
2218,Negative,I took the temperature of DC's bars for all you who watched the #GOPDebate in the comfort of your own home last night http://t.co/09MGoeKayA
2219,Negative,"RT @2AFight: Trump changed party 6 times! Loves ego, not America

#GOPDebate #tcot #PJNET #ycot #RedNationRising #ccot #teaparty http://t.c…"
2220,Negative,#GOPDebate last night was a joke. Still can't wrap my head around that circus.
2221,Negative,@NBCUniverso Who's the real illegal alien #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube
2222,Neutral,"RT @Hardline_Stance: Megyn Kelly got the most air time. 31% of it was for Fox #GOPdebate moderators. Trump was 2nd closest, contrary to wha…"
2223,Positive,RT @Montel_Williams: Gaining the most in tonight's #GOPDebate - John Kasich. enough amateur hour. #Kasich4Us @JohnKasich
2224,Positive,RT @JennHohman: After #GOPDebate He's on top!  Go @RealBenCarson Go!!  #FoxNews and  @megynkelly keep Ben on the air! http://t.co/DgGlgoNasd
2225,Negative,"RT @DWStweets: What we didn't hear tonight — ideas that support the middle class, women, students, or LGBT Americans. #OMGOP #GOPDebate"
2226,Negative,"RT @WayneDupreeShow: #GOPDebate 

#MegynKelly promised they would be calling on @RealBenCarson
a lot more ...guess she embellished that one…"
2227,Negative,"@BernieSanders gained over 10,000 followers in 2 hours simply for live tweeting the #GOPDebate. Hmm...he must have something to say. #Bernie"
2228,Neutral,So this sums up the entire #GOPDebate I suppose. http://t.co/FbaSoZc54U #clowncardumpsterfire
2229,Neutral,"RT @megynkelly: .@krauthammer: #GOPDebate winners are @tedcruz, @marcorubio, @GovMikeHuckabee &amp; @ChrisChristie. #KellyFile"
2230,Negative,RT @tjocaldwell: The big problem this country has is political correctness #trump #GOPDebate Disrespected #MeganKelly
2231,Positive,@BretBaier Not sure why people are giving you and the panel so much heat - I thought you guys were brutally fair and professional #GOPDebate
2232,Positive,RT @GovMikeHuckabee: Washington has done enough lying and stealing – I will protect Social Security &amp; Medicare. http://t.co/9da0D98KdW #GOP…
2233,Negative,"How did any of the Republicans ""win"" last night's #GOPdebate?! Not a single one of them offered a value or criterion for the round! #LDjokes"
2234,Negative,"RT @Smith83K: Oh No You Didn't! 

Jeb! just blamed Obama for what his brother did in Iraq. 

#GOPDebate #LibCrib #UniteBIue"
2235,Negative,"Watched the #GOPDebate last night, which is very unlike me. Feels like a complete joke with Trump on stage. Seriously?!"
2236,Negative,".@mtaibbi Drink rule changes for the next #GOPDebate. Drink every time you hear the following: #15 - ""amnesty"" and #16 - ""radical Islam."""
2237,Neutral,RT @JoyCaresCLE: Very cute! Can we vote a dog on the dollar bill or for president? #GOPDebate #InDogWeTrust  https://t.co/YLAyUl8kaM
2238,Negative,"And...#DonaldTrump remains at the top of the polls! Boo what is wrong with people! #Kasich2016 did well. #GOPDebate ""fat pig"", women..NO"
2239,Positive,RT @tedcruz: I believe the American people are looking for someone to speak the truth https://t.co/GN0PVY4wLR #GOPDebate #CruzCrew
2240,Negative,"Facebook (owner of Instagram) partnered w/ Fox to host the #GOPDebate, and then silenced critics of the candidates. https://t.co/7KFsCrqjfH"
2241,Negative,@pattonoswalt live tweeting the #GOPDebate helps it go down a little easier.  so much insanity.
2242,Neutral,Join me at 1pET on @facebook for a live video q&amp;a on the #GOPDebate. Lots to discuss. http://t.co/8FaMUrc7nn http://t.co/ZivihyXCEB
2243,Negative,"RT @tinaissa: I think Megyn Kellly won this debate. 😂😂😂
#GOPDebate"
2244,Negative,RT @garnerpartyof9: #GOPDebate  #megankelly  Grow some!  You dish it out  but can't  take it. @megynkelly
2245,Negative,"Trump did fine in the #GOPDebate. Not spectacular, but good enough. It's in the post-debate he's killing himself."
2246,Negative,"RT @k_mcq: “This is the most generous country in the world when it comes to immigration,” says Rubio. Yes, that’s the problem. #GOPDebate"
2247,Neutral,"Ben Carson was right to be angry, but next to Rand Paul and Donald Trump, he was downright passive. #GOPDebate"
2248,Negative,"If the only outcome of the #GOPDebate is that The Trump is a domineering boor, replace one of the old guys in suits with a monkey next time."
2249,Positive,"@ShawnSuth Don't be misled. It was like a 5/10 tweet party. The #GOPDebate, on the other hand, would have been incredible."
2250,Negative,"Breaking news: Is @realDonaldTrump buying #FoxNews? Sources say that would be hilarious
#trump
#GOPDebate"
2251,Negative,RT @millerkevinc: Hard to hear all the candidates at the #GOPDebate talk about sending more troops to war with no mention of how to care fo…
2252,Neutral,RT @MaryNicholsCA: Wildfire &amp; drought don't stop at the partisan divide. @JerryBrownGov challenges #GOPDebate to #AskOnClimate. http://t.co…
2253,Positive,"RT @GovMikeHuckabee: I'll protect SS &amp; Medicare. I'll kill anything posing a threat to the promises we've made our seniors. #GOPDebate
http…"
2254,Negative,RT @shannonrwatts: #NRA built massive database of gun owners while opposing national gun registry http://t.co/S9HSbTZRSc #GOPdebate #gunsen…
2255,Neutral,Putting together a correspondent video for @TheDailyShow with @Trevornoah about the #GOPDebate Any Ideas?
2256,Negative,"RT @LgnCtn: #MikeHuckabee should drop a mixtape called ""Kill People; Break Things"" and feature @WakaFlocka on the title track #GOPDebate"
2257,Negative,RT @ChakerKhazaal: #Election2016 #News: @HillaryClinton is not watching tonight's #GOPDebate. http://t.co/NuU1CzMALJ
2258,Negative,RT @dionaoku: shade. #GOPDebate http://t.co/l0uY18MBS1
2259,Negative,"RT @wendyhagen: Also, candidates wear shock collars &amp; if they mention @HillaryClinton or @BarackObama - shocked. Somebody put me in charge …"
2260,Negative,"Watching recording of the #GOPDebate. Forget reality TV, this is primetime comedy gold. #politics"
2261,Neutral,rt KahliaandJake: https://t.co/wbolqWPTqa #America #Australia #GOPDebate #TruthBomb 🙌 🎤 Goodnight!! http://t.co/lm8IzQT6Kc
2262,Neutral,RT @rollcall: #GOPDebate word cloud via @CQnow  https://t.co/NoNApQx8G2
2263,Neutral,"RT @GovMikeHuckabee: .@POTUS is ""trust &amp; vilify"" - he trusts our enemies &amp; vilifies anyone who disagrees with him. http://t.co/9da0D98KdW #…"
2264,Neutral,Sorry that #cjreform wasn't a topic for the #GOPDebate. Seems like #congress needs more nudging before they'll pass sentencing reform.
2265,Neutral,RT @DamienFahey: You can really tell Donald Trump is pro-life because he refers to a child as “it”. #GOPDebate
2266,Negative,"“@nytpolitics: Fact Check: Marco Rubio says Amazon is the largest retailer, but it’s not #GOPDebate http://t.co/iesWK8u8Ar”:A mouth wth legs"
2267,Positive,"RT @ACPress_Tracey: .@_Hetrick and @ACPressKramer with a great look at @realDonaldTrump's record in AC. Apropos, after #GOPDebate Thurs. ht…"
2268,Negative,What a circus that was! #GOPDebate  https://t.co/Ua4eh0STfT
2269,Positive,Cracking up at @theskimm summary of the #GOPDebate http://t.co/909US3fVLi
2270,Negative,".@megynkelly had bad night, should've asked @realDonaldTrump important questions, how will he stop ISIS #GOPDebate  https://t.co/dac0QDku7i"
2271,Negative,The #GOPDebate was the worst Jerry Springer episode I've seen in years.
2272,Neutral,rt DubinPeter: https://t.co/wbolqWPTqa RT ParalegalGeorge: Illinois Social Media Law: In #GOPDebate The PRAYERS o… http://t.co/2NwR3BeWTW
2273,Negative,"The Chair of the DNC doesn't know the FN difference between being a Democrat &amp; a Socialist, but Trump called someone a ""fat pig."" #GOPDebate"
2274,Negative,RT @MAZANDARA: #GOPDebate: @POTUS presents false @TheIranDeal choice bet #war &amp; #appeasement. #RegimeChange analyses @ http://t.co/HFlo91BN…
2275,Positive,RT @DrienaSixto: Wohoo! America's youth has the right idea don't cha think? ;) #StudentsForRubio #GOPDebate @_SFRNC http://t.co/L4WvZWwun6
2276,Negative,"RT @fMRI_guy: BTW the correct response at last night's #GOPDebate would've been: ""My faith is a personal matter &amp; unrelated to my aptitude …"
2277,Negative,"RT @goodrichgevaart: ""the military's favorite song is Break Stuff by Limp Bizkit""- @MikeHuckabeeGOP #GOPDebate"
2278,Neutral,RT @JohnKasich: What you miss during #GOPDebate commercial breaks: @JohnKasich invites the Cruz girls up to chat. http://t.co/5xGqGrcIag
2279,Positive,RT @DanScavino: .@realDonaldTrump has complete control of #GOPDebate stage tonight @BretBaier @megynkelly #KellyFailed #Trump2016 🇺🇸 http:/…
2280,Neutral,"RT @SonarJose: MK: ""Mr. Jackson, you molested &amp; paid off young boys...""
MJ: ""Only my Macauley Culkin.""
*audience roars with laughter, appla…"
2281,Negative,RT @RyanMauro: Arab columnist praises @realDonaldTrump #DonaldTrump #GOPDebate: http://t.co/3wqjfZgH2q
2282,Negative,RT @GOPendejos: An HOUR in and STILL No mention of #RonaldRaven our finest avian president. #GOPDebate #FoxDebate #FoxNews http://t.co/Mf1J…
2283,Negative,"The best way to denigrate Roger Ailes whorehouse of a network is to refer to it as ""The Fox News."" Distinct from real news. #gopDebate"
2284,Negative,Anyone not willing to place objective reality ahead of lunatic liberal ideology is no friend to those resisting progressivism. #GOPDebate
2285,Neutral,BREAKING NEWS: Jeb Bush was Governor of Florida! !! #GOPDebate
2286,Positive,"RT @nannacassie: A small window into #trump tonight. He has a soft side. Being ""nice, class act, respectful &amp; fair"" matters to him. #GOPDeb…"
2287,Negative,"RT @SonarJose: MK: ""Mr. Simpson, you've stalked and savagely murdered women..""
O.J.: ""Only my ex-wife.""
*audience roars with laughter, appl…"
2288,Negative,RT @katiecouric: I'm sure it's not easy to moderate such a big group...so congrats to @BretBaier @megynkelly and @ChrisWallace. #GOPDebate
2289,Negative,RT @MattyIceAZ: The best part of the Debate tonight? Watching all the governors take credit for the economic progress under Obama's policie…
2290,Negative,"The only way the #GOPDebate could have been crazier is if Melania jumped up and pulled @megynkelly ""s hair. @OutnumberedFNC #TrumpLike"
2291,Positive,"RT @libertyladyusa: Whoooooooooop! Ted Cruz is wrappin' up with bang!

#GOPDebate"
2292,Negative,"RT @Marmel: So we're going to talk about Trump's bankruptcies but not Fiorina's tenure at HP?

Adorbs.

#GOPDebate"
2293,Negative,"So, this tweet was way funny. #GOPDebate #womenshealth #ItsNot1954 http://t.co/rSPZlJIWjg"
2294,Negative,"MOTIVATION TIP - Resolving from political and corporate leaders is what a nation's struggling economy needs, not entertaining !! #gopdebate"
2295,Negative,Catching up on some of last night;s #GOPDebate: Vast majority of the questions are on flip-flop positions that span across years.
2296,Neutral,"Last night's #GOPDebate: what topics merited attention, and which were ignored #GOPtbt http://t.co/GsV9esxtVv"
2297,Negative,#GOPDebate in a nutshell via Vote True Blue 2016 http://t.co/5rfh5zbnPm
2298,Negative,RT @rickbot5000: Is @BretBaier an Oompa Loompa? #GOPDebate #orangish
2299,Negative,"Best line of #GOPDebate was ""Immigration without assimilation is invasion."" Was that Gov Jindal?"
2300,Neutral,"RT @jacksontsimpson: TRUMP: ""Most of the people on this stage I have given to.""
RUBIO: ""Not me.""
#SHADE #GOPDebate"
2301,Negative,RT @America4Israel: @FoxNews #GOPDebate a lovefest for Republican party. Problem wasn't just @megynkelly but all producers involved in bury…
